id,name,email,date_of_birth,signup_date,subscription_status,age,status
1,John Doe,john.doe@example.com,15/01/1985,01/11/2020,active,40,active
2,Jane Smith,jane.smith@example.com,22/05/1990,17/06/2019,active,35,active
3,Bob Johnson,bob.johnson@example,30/03/1977,12/12/2018,inactive,48,inactive
4,Alice Brown,alice.brown@example.com,09/08/1982,05/01/2021,active,43,active
5,Charlie Black,charlie.black@example.com,23/11/1988,,inactive,36,inactive
8,Hannah Brown,heather75@example.net,20/08/1952,16/02/2024,inactive,73,inactive
20,Brian Mendoza,abigaildavis@example.net,14/07/1994,25/10/2023,inactive,31,inactive
22,Jane Ballard,thomaslaura@example.org,04/10/2003,19/01/2022,inactive,21,inactive
25,Haley Harris,qkramer@example.org,12/07/1991,09/06/2021,inactive,34,inactive
29,Cheryl Durham,glassshawn@example.com,25/04/1949,11/06/2021,active,76,active
32,Jill Castaneda,imorrison@example.org,31/07/1950,04/06/2023,inactive,75,inactive
33,James Lopez,efaulkner@example.com,26/08/1989,05/03/2022,inactive,36,inactive
37,Ashley Williams,stacey05@example.net,08/09/1970,30/08/2022,active,55,active
40,Tracey Bowman,bking@example.net,14/11/1951,29/05/2022,active,73,active
45,Scott Miller,diane87@example.net,23/04/1983,10/06/2023,inactive,42,inactive
50,Michelle Monroe,michaelhuerta@example.org,02/06/1969,27/04/2024,active,56,active
59,Randy Higgins,bthomas@example.com,19/09/1961,01/01/2024,active,64,active
73,Theresa Smith,isnyder@example.com,19/07/1936,23/03/2024,inactive,89,inactive
77,Christopher Carey,ellisonjessica@example.com,01/10/1936,05/07/2022,active,89,active
83,Zachary Johnson,ashleywhite@example.com,24/02/1982,16/05/2023,active,43,active
85,John Cantrell,laurengill@example.net,08/10/1983,07/03/2023,inactive,41,inactive
88,Allison Long,boyerkatherine@example.net,30/05/1996,31/07/2023,active,29,active
89,Marc Garner,cameronblanchard@example.org,13/10/1944,26/04/2021,inactive,80,inactive
93,Janice Garcia,martinezteresa@example.com,03/03/1976,19/03/2023,inactive,49,inactive
96,Dakota Mcmahon,wramirez@example.net,18/02/1935,08/11/2021,inactive,90,inactive
97,Valerie Wolf,martinezdavid@example.net,05/12/1968,25/11/2022,inactive,56,inactive
101,Tanya Horne,qthompson@example.net,30/10/2002,13/03/2022,inactive,22,inactive
104,Alan Hill,janetbrown@example.net,21/02/1945,19/03/2020,active,80,active
106,Jodi Young,nicholekennedy@example.com,11/06/1963,27/09/2020,active,62,active
108,Margaret Smith,sheltonjason@example.net,05/12/1954,02/06/2020,active,70,active
109,Abigail Garcia,stephanieclark@example.net,09/08/1977,16/08/2023,active,48,active
115,Brandon Williams,christy49@example.net,30/01/1987,16/10/2021,inactive,38,inactive
121,Linda Nichols,katherine15@example.net,26/04/1946,14/09/2022,inactive,79,inactive
127,John Smith,mariaharper@example.com,30/09/1959,12/06/2022,active,66,active
136,Lori Key,grayjennifer@example.net,20/09/1983,13/03/2023,active,42,active
146,Kenneth Greene,jhays@example.net,26/06/1982,14/09/2023,inactive,43,inactive
155,Daniel Johnston,dholt@example.org,05/07/1978,10/10/2021,active,47,active
160,Erika Thomas,kfox@example.org,04/11/1945,17/11/2023,inactive,79,inactive
161,Christopher Esparza,hwood@example.net,01/10/1939,22/06/2021,active,86,active
162,Kathleen Leon,contrerasaustin@example.com,20/06/1994,08/04/2024,inactive,31,inactive
170,Erik Bell,breed@example.org,04/09/2004,17/02/2022,inactive,21,inactive
171,Craig Andrade,danielhanson@example.net,19/02/1965,11/01/2020,active,60,active
172,Jennifer Pope,jamesvelez@example.org,07/10/1973,10/10/2023,inactive,51,inactive
177,Dana Howard,amanda49@example.com,26/11/1970,13/05/2021,inactive,54,inactive
179,Bruce Green,roy03@example.org,01/11/1975,02/04/2020,active,49,active
186,Jessica Cuevas,matthew22@example.org,23/09/1957,29/05/2020,inactive,68,inactive
187,Ashley Payne,mpierce@example.org,27/10/1939,11/03/2020,inactive,85,inactive
200,Christine Mahoney,leebrian@example.org,03/06/1979,07/09/2022,active,46,active
202,Cheryl Perez,joshualee@example.org,12/03/2000,28/01/2024,active,25,active
205,Kathy Ferguson,jessicawallace@example.net,19/10/1956,23/07/2022,inactive,68,inactive
208,Kayla Johnson,erinharrington@example.org,24/01/1977,07/04/2024,active,48,active
215,Alex Stokes,michael35@example.com,11/02/1975,21/11/2022,inactive,50,inactive
219,Brittany Oliver,davidrodriguez@example.com,07/12/2001,30/01/2021,inactive,23,inactive
220,David Blackwell,linda57@example.net,02/01/1982,22/10/2021,active,43,active
237,Mrs. Valerie Potts,kenneth28@example.net,11/05/2001,23/03/2022,active,24,active
244,Cassie Daugherty,deborahwilkins@example.com,05/06/1975,15/05/2023,inactive,50,inactive
252,Eduardo Jones,kimberly68@example.net,07/04/1953,10/04/2023,inactive,72,inactive
254,Elizabeth Williams,pachecomarc@example.com,30/04/1993,19/08/2023,inactive,32,inactive
255,Nicole Fitzgerald,craig52@example.org,27/11/1936,19/06/2023,inactive,88,inactive
258,Kaitlyn Hebert,wblair@example.net,11/02/1983,08/04/2021,active,42,active
264,Susan Murphy,ameyer@example.com,04/02/1960,09/02/2020,inactive,65,inactive
268,Victoria Sloan,carriebrennan@example.net,30/08/1994,24/01/2022,inactive,31,inactive
270,Eric Mercado,nwilkerson@example.org,26/05/1941,09/07/2021,active,84,active
271,Douglas Rivera,emily85@example.net,15/04/1993,07/01/2020,active,32,active
272,Donald Kerr,christopher52@example.com,01/01/2005,20/12/2021,inactive,20,inactive
284,Michael Smith,goodwinlance@example.com,24/04/2002,05/08/2021,active,23,active
295,Amy Lee,halldana@example.com,25/08/1965,29/03/2021,inactive,60,inactive
300,Nathan Peterson,gerald50@example.net,27/03/1961,01/05/2023,active,64,active
